Time,Time Code,Country Name,Country Code,GDP ,Exports,Expenditure 
2015,YR2015,Qatar,QAT,1.62E+11,92291208791,32715592830
2015,YR2015,Romania,ROU,1.78E+11,73553461318,24752852186
2015,YR2015,San Marino,SMR,1419394771,2476172232,283744614
2015,YR2015,Saudi Arabia,SAU,6.54E+11,2.18E+11,1.96E+11
2015,YR2015,Seychelles,SYC,1416001322,1290380730,319290365.7
2015,YR2015,Singapore,SGP,3.08E+11,5.49E+11,31388420134
2015,YR2015,Sint Maarten (Dutch part),SXM,1253072626,1220502793,NA
2015,YR2015,Slovak Republic,SVK,88900883131,81433630598,16490554733
2015,YR2015,Slovenia,SVN,43107506024,33256871128,8114187309
2015,YR2015,Spain,ESP,1.20E+12,4.02E+11,2.33E+11
2015,YR2015,St. Kitts and Nevis,KNA,957040740.7,NA,NA
2015,YR2015,St. Martin (French part),MAF,NA,NA,NA
2015,YR2015,Sweden,SWE,5.05E+11,2.21E+11,1.30E+11
2015,YR2015,Switzerland,CHE,6.94E+11,4.43E+11,80084350930
2015,YR2015,Trinidad and Tobago,TTO,26851970254,NA,NA
2015,YR2015,Turks and Caicos Islands,TCA,942070000,NA,NA
2015,YR2015,United Arab Emirates,ARE,3.70E+11,3.61E+11,44511095984
2015,YR2015,United Kingdom,GBR,2.93E+12,8.11E+11,5.72E+11
2015,YR2015,United States,USA,1.82E+13,2.27E+12,2.61E+12
2015,YR2015,Uruguay,URY,53274304222,11974918858,7370931508
2015,YR2015,Virgin Islands (U.S.),VIR,3663000000,1525000000,1035000000
2016,YR2016,Andorra,AND,2896679212,NA,NA
2016,YR2016,Antigua and Barbuda,ATG,1436585185,1043111111,226140111.1
2016,YR2016,Aruba,ABW,2983798883,2143016760,700558659.2
2016,YR2016,Australia,AUS,1.21E+12,2.33E+11,2.40E+11
2016,YR2016,Austria,AUT,3.96E+11,2.07E+11,77786398661
2016,YR2016,"Bahamas, The",BHS,11834600000,3936500000,1382400000
2016,YR2016,Bahrain,BHR,32234973404,23918617021,5515771277
2016,YR2016,Barbados,BRB,4832811750,1765692250,648578300
2016,YR2016,Belgium,BEL,4.76E+11,3.78E+11,1.11E+11
2016,YR2016,Bermuda,BMU,6899911000,3403730000,837000000
2016,YR2016,British Virgin Islands,VGB,NA,NA,NA
2016,YR2016,Brunei Darussalam,BRN,11400854268,5652190835,2989613842
2016,YR2016,Canada,CAN,1.53E+12,4.81E+11,3.22E+11
2016,YR2016,Cayman Islands,CYM,4909498980,NA,NA
2016,YR2016,Channel Islands,CHI,NA,NA,NA
2016,YR2016,Chile,CHL,2.49E+11,69612075674,35756086749
2016,YR2016,Croatia,HRV,52397494687,24555556090,10907504351
2016,YR2016,Curacao,CUW,3014748603,1868156425,483743016.8
2016,YR2016,Cyprus,CYP,21046951516,14834744299,3194722161
2016,YR2016,Czechia,CZE,1.96E+11,1.55E+11,37217475510
2016,YR2016,Denmark,DNK,3.13E+11,1.67E+11,77867254833
2016,YR2016,Estonia,EST,24072829277,18537893089,4748234686
2016,YR2016,Faroe Islands,FRO,2813286391,1534263262,778094686.3
2016,YR2016,Finland,FIN,2.41E+11,83813596801,56993334377
2016,YR2016,France,FRA,2.47E+12,7.48E+11,5.87E+11
2016,YR2016,French Polynesia,PYF,5497037293,NA,NA
2016,YR2016,Germany,DEU,3.47E+12,1.60E+12,6.91E+11
2016,YR2016,Gibraltar,GIB,NA,NA,NA
2016,YR2016,Greece,GRC,1.93E+11,60431141889,39812905203
2016,YR2016,Greenland,GRL,2707146783,1103569678,1146307768
2016,YR2016,Guam,GUM,5901000000,1119000000,NA
2016,YR2016,"Hong Kong SAR, China",HKG,3.21E+11,6.00E+11,31945815029
2016,YR2016,Hungary,HUN,1.29E+11,1.11E+11,25671943119
2016,YR2016,Iceland,ISL,20793168031,9873435455,4784455834
2016,YR2016,Ireland,IRL,2.99E+11,3.64E+11,38180914926
2016,YR2016,Isle of Man,IMN,6846691871,NA,NA
2016,YR2016,Israel,ISR,3.22E+11,96485761650,70637844762
2016,YR2016,Italy,ITA,1.88E+12,5.51E+11,3.57E+11
2016,YR2016,Japan,JPN,5.00E+12,8.03E+11,9.84E+11
2016,YR2016,"Korea, Rep.",KOR,1.50E+12,6.02E+11,2.29E+11
2016,YR2016,Kuwait,KWT,1.09E+11,52118503807,28127441245
2016,YR2016,Latvia,LVA,28083597512,16739813107,5093354901
2016,YR2016,Liechtenstein,LIE,6237264055,NA,NA
2016,YR2016,Lithuania,LTU,43047309306,29094549836,7317568230
2016,YR2016,Luxembourg,LUX,62216885436,1.19E+11,9752010132
2016,YR2016,"Macao SAR, China",MAC,45070605746,34542782454,4686870708
2016,YR2016,Malta,MLT,11668253265,18412663272,1847243746
2016,YR2016,Monaco,MCO,6472990923,NA,NA
2016,YR2016,Nauru,NRU,99723394.96,70607075.27,NA
2016,YR2016,Netherlands,NLD,7.84E+11,6.24E+11,1.94E+11
2016,YR2016,New Caledonia,NCL,8724570250,1680830894,2134522127
2016,YR2016,New Zealand,NZL,1.89E+11,50288021441,34267416161
2016,YR2016,Northern Mariana Islands,MNP,1230000000,882000000,NA
2016,YR2016,Norway,NOR,3.69E+11,1.31E+11,89841309524
2016,YR2016,Oman,OMN,75128738622,31042392718,19627308192
2016,YR2016,Panama,PAN,57907700000,24305600000,6353300000
2016,YR2016,Poland,POL,4.70E+11,2.36E+11,84373288019
2016,YR2016,Portugal,PRT,2.06E+11,83005656043,36305978233
2016,YR2016,Puerto Rico,PRI,1.04E+11,71740000000,8603700000
2016,YR2016,Qatar,QAT,1.52E+11,72397252747,29654129313
2016,YR2016,Romania,ROU,1.85E+11,78593220339,28218885495
2016,YR2016,San Marino,SMR,1468377272,2541293662,289220836.2
2016,YR2016,Saudi Arabia,SAU,6.45E+11,2.01E+11,1.67E+11
2016,YR2016,Seychelles,SYC,1490228319,1338731596,350789467.8
2016,YR2016,Singapore,SGP,3.19E+11,5.25E+11,32725588129
2016,YR2016,Sint Maarten (Dutch part),SXM,1263687151,1168882682,NA
2016,YR2016,Slovak Republic,SVK,89952699525,84075231062,16983295264
2016,YR2016,Slovenia,SVN,44766722791,34738156236,8521596556
2016,YR2016,Spain,ESP,1.23E+12,4.18E+11,2.36E+11
2016,YR2016,St. Kitts and Nevis,KNA,1008100000,NA,NA
2016,YR2016,St. Martin (French part),MAF,NA,NA,NA
2016,YR2016,Sweden,SWE,5.16E+11,2.20E+11,1.36E+11
2016,YR2016,Switzerland,CHE,6.88E+11,4.60E+11,79210899165
2016,YR2016,Trinidad and Tobago,TTO,23496215885,NA,NA
2016,YR2016,Turks and Caicos Islands,TCA,1032452000,NA,NA
2016,YR2016,United Arab Emirates,ARE,3.69E+11,3.61E+11,44725287978
2016,YR2016,United Kingdom,GBR,2.70E+12,7.73E+11,5.17E+11
2016,YR2016,United States,USA,1.87E+13,2.23E+12,2.66E+12
2016,YR2016,Uruguay,URY,57236652490,15427745685,NA
2016,YR2016,Virgin Islands (U.S.),VIR,3798000000,1786000000,1048000000
2017,YR2017,Andorra,AND,3000180750,NA,NA
